ダウンロードした時刻：2021/12/01 14:19:26

,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
2020/6/12,26.2,8,1,84,8,1
2020/6/13,21.3,8,1,99,8,1
2020/6/14,21.7,8,1,99,8,1
2020/6/15,25.9,8,1,81,8,1
2020/6/16,25.5,8,1,68,8,1
2020/6/17,23.6,8,1,63,8,1
2020/6/18,22.1,8,1,82,8,1
2020/6/19,18.7,8,1,99,8,1
2020/6/20,22.9,8,1,76,8,1
2020/6/21,21.9,8,1,83,8,1
2020/6/22,19.2,8,1,95,8,1
2020/6/23,22.3,8,1,86,8,1
2020/6/24,22.5,8,1,84,8,1
2020/6/25,20.2,8,1,94,8,1
2020/6/26,24.7,8,1,85,8,1
2020/6/27,25.5,8,1,83,8,1
2020/6/28,22.2,8,1,96,8,1
2020/6/29,24.9,8,1,69,8,1
2020/6/30,24.6,8,1,90,8,1
2020/7/1,25.1,8,1,89,8,1
2020/7/2,25.9,8,1,72,8,1
2020/7/3,23.8,8,1,80,8,1
2020/7/4,23.8,8,1,90,8,1
2020/7/5,24.9,8,1,87,8,1
2020/7/6,24.8,8,1,92,8,1
2020/7/7,27.2,8,1,84,8,1
2020/7/8,26.0,8,1,83,8,1
2020/7/9,23.7,8,1,96,8,1
2020/7/10,25.3,8,1,90,8,1
2020/7/11,27.5,8,1,82,8,1
2020/7/12,26.0,8,1,81,8,1
2020/7/13,21.0,8,1,90,8,1
2020/7/14,22.3,8,1,97,8,1
2020/7/15,20.4,8,1,97,8,1
2020/7/16,20.7,8,1,86,8,1
2020/7/17,19.3,8,1,98,8,1
2020/7/18,20.4,8,1,100,8,1
2020/7/19,24.3,8,1,90,8,1
2020/7/20,26.9,8,1,80,8,1
2020/7/21,25.5,8,1,88,8,1
2020/7/22,26.6,8,1,89,8,1
2020/7/23,23.2,8,1,99,8,1
2020/7/24,24.5,8,1,94,8,1
2020/7/25,25.1,8,1,98,8,1
2020/7/26,25.6,8,1,95,8,1
2020/7/27,26.3,8,1,88,8,1
2020/7/28,26.7,8,1,90,8,1
2020/7/29,22.9,8,1,87,8,1
2020/7/30,23.2,8,1,84,8,1
2020/7/31,24.8,8,1,90,8,1
2020/8/1,26.1,8,1,77,8,1
2020/8/2,26.3,8,1,75,8,1
2020/8/3,27.2,8,1,74,8,1
2020/8/4,28.3,8,1,77,8,1
2020/8/5,29.1,8,1,76,8,1
2020/8/6,28.5,8,1,79,8,1
2020/8/7,29.5,8,1,71,8,1
2020/8/8,28.1,8,1,79,8,1
2020/8/9,28.7,8,1,77,8,1
2020/8/10,30.5,8,1,73,8,1
2020/8/11,31.7,8,1,67,8,1
2020/8/12,30.0,8,1,79,8,1
2020/8/13,29.4,8,1,82,8,1
2020/8/14,29.4,8,1,78,8,1
2020/8/15,31.0,8,1,76,8,1
2020/8/16,31.2,8,1,74,8,1
2020/8/17,30.8,8,1,76,8,1
2020/8/18,30.3,8,1,71,8,1
2020/8/19,29.0,8,1,72,8,1
2020/8/20,29.7,8,1,74,8,1
2020/8/21,30.1,8,1,72,8,1
2020/8/22,29.3,8,1,75,8,1
2020/8/23,25.6,8,1,87,8,1
2020/8/24,27.2,8,1,79,8,1
2020/8/25,27.8,8,1,75,8,1
2020/8/26,28.8,8,1,77,8,1
2020/8/27,29.3,8,1,79,8,1
2020/8/28,30.2,8,1,76,8,1
2020/8/29,30.3,8,1,73,8,1
2020/8/30,30.0,8,1,73,8,1
2020/8/31,27.5,8,1,80,8,1
2020/9/1,24.9,8,1,85,8,1
2020/9/2,26.8,8,1,93,8,1
2020/9/3,28.4,8,1,85,8,1
2020/9/4,29.3,8,1,76,8,1
2020/9/5,28.6,8,1,79,8,1
2020/9/6,25.7,8,1,94,8,1
2020/9/7,26.7,8,1,93,8,1
2020/9/8,29.5,8,1,73,8,1
2020/9/9,29.0,8,1,72,8,1
2020/9/10,27.7,8,1,80,8,1
2020/9/11,28.3,8,1,79,8,1
2020/9/12,23.7,8,1,97,8,1
2020/9/13,23.3,8,1,89,8,1
2020/9/14,23.4,8,1,86,8,1
2020/9/15,23.8,8,1,82,8,1
2020/9/16,24.0,8,1,81,8,1
2020/9/17,24.9,8,1,88,8,1
2020/9/18,29.0,8,1,74,8,1
2020/9/19,24.7,8,1,78,8,1
2020/9/20,22.2,8,1,80,8,1
2020/9/21,22.0,8,1,78,8,1
2020/9/22,22.5,8,1,76,8,1
2020/9/23,20.2,8,1,95,8,1
2020/9/24,19.0,8,1,92,8,1
2020/9/25,19.4,8,1,95,8,1
2020/9/26,18.5,8,1,97,8,1
2020/9/27,19.7,8,1,88,8,1
2020/9/28,21.5,8,1,71,8,1
2020/9/29,19.7,8,1,67,8,1
2020/9/30,20.0,8,1,66,8,1
2020/10/1,19.5,8,1,85,8,1
2020/10/2,21.0,8,1,72,8,1
2020/10/3,21.7,8,1,74,8,1
2020/10/4,22.0,8,1,77,8,1
2020/10/5,21.7,8,1,81,8,1
2020/10/6,21.0,8,1,52,8,1
2020/10/7,18.3,8,1,73,8,1
2020/10/8,14.7,8,1,99,8,1
