ダウンロードした時刻：2021/12/01 14:19:26

,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
2021/10/26,15.0,8,1,85,8,1
2021/10/27,14.5,8,1,91,8,1
2021/10/28,17.6,8,1,62,8,1
2021/10/29,15.3,8,1,53,8,1
2021/10/30,14.5,8,1,61,8,1
2021/10/31,13.6,8,1,80,8,1
2021/11/1,16.8,8,1,81,8,1
2021/11/2,17.7,8,1,78,8,1
2021/11/3,17.1,8,1,61,8,1
2021/11/4,15.5,8,1,57,8,1
2021/11/5,15.3,8,1,61,8,1
2021/11/6,14.9,8,1,66,8,1
2021/11/7,15.7,8,1,73,8,1
2021/11/8,16.4,8,1,79,8,1
2021/11/9,16.1,8,1,99,8,1
2021/11/10,16.0,8,1,60,8,1
2021/11/11,15.4,8,1,49,8,1
2021/11/12,14.5,8,1,52,8,1
2021/11/13,13.1,8,1,55,8,1
2021/11/14,14.0,8,1,62,8,1
2021/11/15,14.3,8,1,57,8,1
2021/11/16,14.2,8,1,66,8,1
2021/11/17,13.5,8,1,60,8,1
2021/11/18,12.6,8,1,72,8,1
2021/11/19,12.5,8,1,73,5,1
2021/11/20,13.2,8,1,69,8,1
2021/11/21,12.5,8,1,83,8,1
2021/11/22,13.5,8,1,98,8,1
2021/11/23,12.5,8,1,58,8,1
2021/11/24,11.4,8,1,48,8,1
2021/11/25,12.3,8,1,51,8,1
2021/11/26,12.0,8,1,59,8,1
2021/11/27,9.6,8,1,48,8,1
2021/11/28,8.9,8,1,51,8,1
2021/11/29,8.1,8,1,59,8,1
2021/11/30,11.0,8,1,72,8,1
