,sum_I_new,max_I_now
scenario_1762,622042.2884977174,85933.88327621066
scenario_1763,2429085.5927410624,561671.9736020484
scenario_1764,1790686.3034461248,391491.1016949459
scenario_1765,451090.3690989769,61446.78847189442
scenario_1766,1506593.350282444,318958.11500317085
scenario_1767,365009.9018715289,54862.64042693484
scenario_1768,514112.34566373524,61648.54568399612
scenario_1769,369423.6164092661,54862.64042693484
scenario_1770,1340778.0674111736,258893.05022347183
scenario_1771,1058885.1424452777,180070.20353004072
scenario_1772,812251.287176881,107646.34618289598
scenario_1773,1421863.9928838322,269876.28207414574
scenario_1774,1897688.2781576314,407793.37679719256
scenario_1775,1516527.1269217785,291213.64862867264
scenario_1776,1719820.982736407,346466.8809638344
scenario_1777,988629.8206402299,154348.48297842656
scenario_1778,866116.9456564465,122950.71557403596
scenario_1779,1334419.0214752979,246166.90207577765
scenario_1780,5725406.350397012,1469653.3468627755
scenario_1781,4996692.6691050315,1266204.1588214098
scenario_1782,3732468.9367029606,929540.1667757572
scenario_1783,5725406.350397012,1469653.3468627755
scenario_1784,5803491.021022678,1489620.2595380258
scenario_1785,3802203.093396857,949585.190669966
scenario_1786,5082579.633023618,1288736.5984589085
scenario_1787,3112139.5875105713,751550.3469452807
scenario_1788,3027555.8895888845,731091.0388297009
scenario_1789,3104261.1426217356,751550.3469452807
scenario_1790,736168.3907108265,99550.70439452076
scenario_1791,645676.3319093161,82623.13347714597
scenario_1792,2383347.7081742436,545016.4136261787
scenario_1793,611221.1605174572,75491.80769004692
scenario_1794,765781.9570492157,107195.75512994164
scenario_1795,2450308.7450694754,563646.0524825561
scenario_1796,547934.5787338193,70490.03331605514
scenario_1797,2077082.9999795174,463049.01971646334
scenario_1798,2010380.508974831,445953.2622948783
scenario_1799,2074271.749457297,463049.01971646334
scenario_1800,1549919.0462890705,312037.29920391523
scenario_1801,1266388.0549635584,235016.22706295276
scenario_1802,2317930.4511599643,526840.4472345223
scenario_1803,1523739.2399444527,312032.8264846957
scenario_1804,1928667.1660482832,411459.87255496497
scenario_1805,2785480.9038252793,654346.9638062136
scenario_1806,1554797.1211975035,320484.6020295099
scenario_1807,2372023.106608614,539604.2422412318
scenario_1808,1923543.171835656,421193.42451077135
scenario_1809,2362776.254327607,539604.2422412318
scenario_1810,4267498.187833187,1090389.6399944008
scenario_1811,3390982.4899962274,836355.0546688029
scenario_1812,4850824.79304375,1251446.1336979566
scenario_1813,4396462.439875731,1090446.7943642796
scenario_1814,3425679.376168085,878977.4173605965
scenario_1815,4035278.251636515,1032295.1746207244
scenario_1816,2641218.6393258823,615351.2617247828
scenario_1817,3031420.5509774364,754006.2217594708
scenario_1818,4048871.3327874835,994120.0727608544
scenario_1819,3095633.8590051355,754006.2217594708
scenario_1820,4571234.9058257,1150768.105166727
scenario_1821,3921270.3338641124,969254.1697144756
scenario_1822,2391559.442804972,536569.980939099
scenario_1823,4569205.493051951,1150768.105166727
scenario_1824,4285671.164959433,1075169.6860059162
scenario_1825,2095385.0301740123,475697.9817185095
scenario_1826,3629420.529701672,891998.3291341839
scenario_1827,1714256.7589564843,349930.42289495806
scenario_1828,1817180.199018471,393670.6732177004
scenario_1829,1626393.2073567647,341711.96315194253
scenario_1830,613264.1900312582,74913.02281933681
scenario_1831,520954.498565523,61776.973966254736
scenario_1832,3758047.3514311104,914080.4807247472
scenario_1833,1171646.5746737164,222416.08259574533
scenario_1834,517640.1616874792,67793.50868962277
scenario_1835,3368681.357518916,810376.235470542
scenario_1836,830969.1249116126,141019.08152999394
scenario_1837,2964071.87731647,703087.1205111184
scenario_1838,3344955.3039987804,804437.0761859759
scenario_1839,2964767.302967241,703087.1205111184
scenario_1840,1561319.4381689595,322481.6791280334
scenario_1841,3258831.964073734,759950.0396692657
scenario_1842,1994721.327926268,432658.3316742899
scenario_1843,1100786.7690301635,207561.40062616213
scenario_1844,1440797.244199159,290845.51982746355
scenario_1845,1745813.8773987736,378809.0589262398
scenario_1846,3001084.11028982,715207.0903661423
scenario_1847,4211125.100451555,1036894.0510512852
scenario_1848,4348262.683465686,1078589.1332581297
scenario_1849,4191912.1087550274,1036894.0510512852
scenario_1850,1206012.4788187644,212381.84321114616
scenario_1851,325228.98066323187,50762.85311437712
scenario_1852,1505012.6556185305,300022.1913846951
scenario_1853,1299270.4464925372,233393.1915337171
scenario_1854,1147466.4902025857,197193.5252413404
scenario_1855,1484501.2104689768,287598.29675735935
scenario_1856,360468.4988621503,50453.946131590936
scenario_1857,339805.33295104007,53687.12711524183
scenario_1858,418522.8268090123,53991.65255156496
scenario_1859,393552.429292564,53687.12711524183
scenario_1860,7651701.692531365,1989640.6524885148
scenario_1861,3117522.353600069,742567.349724912
scenario_1862,3150306.004225198,743004.9200561852
scenario_1863,7651701.692531365,1989640.6524885148
scenario_1864,6996641.04218858,1826695.2991959043
scenario_1865,2410271.5881900256,577412.8646693397
scenario_1866,2239145.456490595,506770.2156678381
scenario_1867,526048.2389852824,73902.37009867007
scenario_1868,606825.7735460384,73938.67217023895
scenario_1869,424513.1930048891,73902.37009867007
scenario_1870,679831.0942095562,84293.95716916761
scenario_1871,2833846.814351863,691268.1124459511
scenario_1872,948034.1548517998,155955.94845614658
scenario_1873,927522.2004882616,143050.35805169004
scenario_1874,905489.1143509645,141883.51280216343
scenario_1875,1502886.5342422677,292561.0874037286
scenario_1876,3481153.2648935216,833594.9208554232
scenario_1877,4166069.3474016287,1052209.1964523245
scenario_1878,3636475.3951045736,900821.7661189652
scenario_1879,4218973.582009059,1052209.1964523245
scenario_1880,1167992.5360670886,219433.84907073475
scenario_1881,6494940.82046262,1708989.9989332238
scenario_1882,2219596.188308946,501924.9401587891
scenario_1883,1167879.708635399,219433.84907073475
scenario_1884,1312202.3861310289,258210.3756329213
scenario_1885,2445339.361894888,562704.0244083528
scenario_1886,6677584.368365446,1754082.7143504813
scenario_1887,8006050.389242736,2098712.120032972
scenario_1888,7847913.273264534,2060675.741142451
scenario_1889,8006050.389242736,2098712.120032972
scenario_1890,2507649.9899907964,560180.6890172557
scenario_1891,1178236.931267575,206939.38653787447
scenario_1892,3024180.48855964,711606.717961615
scenario_1893,2470087.084061933,552729.6111699766
scenario_1894,2751092.659482951,623209.4293084472
scenario_1895,3258345.728859866,777620.8871692319
scenario_1896,1278843.3880454015,233208.70607479505
scenario_1897,1519555.6202251771,295493.74828747794
scenario_1898,1260877.4494924278,227295.88550143625
scenario_1899,1455386.6338492602,278459.9289510318
scenario_1900,1394915.0700659538,277125.1732508174
scenario_1901,536958.37007327,69188.03850153263
scenario_1902,743911.8575636635,97906.76127090266
scenario_1903,1394513.5321731435,277125.1732508174
scenario_1904,2233835.2288723174,504130.04960281454
scenario_1905,1213227.8932992248,219675.6212991092
scenario_1906,936173.4945786125,161330.75653220047
scenario_1907,544315.9084384339,65507.230105647606
scenario_1908,345439.14733489073,64446.70969446882
scenario_1909,526332.4184620713,65507.230105647606
scenario_1910,423573.901298037,53691.8302845629
scenario_1911,1693149.5431531412,336373.3758996444
scenario_1912,807227.6794473049,133184.48731347403
scenario_1913,396534.5399992591,46758.25053377477
scenario_1914,304987.4646452899,43639.847838544745
scenario_1915,577962.5911542559,75700.70181487367
scenario_1916,1312515.953634635,237825.8811421512
scenario_1917,3558628.286751778,874515.3528397767
scenario_1918,4098144.777902683,1018396.1898361216
scenario_1919,3557062.7182677984,874515.3528397767
scenario_1920,505982.42179733264,60884.637594863074
scenario_1921,4321177.450066531,1091773.7042203508
scenario_1922,1906163.9848414876,424847.27254058816
scenario_1923,562165.7918908217,72760.01938554287
scenario_1924,500212.27346689376,59445.57829919088
scenario_1925,1886183.057414988,419554.1075283292
scenario_1926,4305387.460913979,1086174.7848759375
scenario_1927,7070756.285073687,1825658.470826686
scenario_1928,7089851.707910466,1830522.17835472
scenario_1929,7070756.285073687,1825658.470826686
scenario_1930,1328846.2752365093,243508.68206911028
scenario_1931,894903.3427527559,143737.79155167306
scenario_1932,1924575.7204020168,406541.3568114407
scenario_1933,1135565.4813681182,194846.67043084803
scenario_1934,1310758.3086151383,238719.2746093825
scenario_1935,1853420.1154280063,399508.2121856552
scenario_1936,655827.7545174374,80425.59293046013
scenario_1937,1127698.3245307896,199950.2444880324
scenario_1938,1027432.4343829332,178216.43795279184
scenario_1939,1013103.7516541006,174483.36597871885
